attributes,Id,Name,Type,Zone__c,Province__c
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001KvmhSIAR'})",001Ho00001KvmhSIAR,AAA,Gourmet,Centro,Huesca
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001ItUo2IAF'})",001Ho00001ItUo2IAF,Bodegas Seguros,Market,Centro,Zaragoza
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001ItpP0IAJ'})",001Ho00001ItpP0IAJ,Centro Central Market,Market,Centro,Zaragoza
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001ItRnbIAF'})",001Ho00001ItRnbIAF,Bodegas Ventilador,Gourmet,Centro,Segovia
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001ItpP4IAJ'})",001Ho00001ItpP4IAJ,Centro Central Gourmet,Gourmet,Centro,Zaragoza
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001ItYOzIAN'})",001Ho00001ItYOzIAN,Bodegas Miguel Angel,Market,Centro,Zaragoza
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001KvvhHIAR'})",001Ho00001KvvhHIAR,zxzzx,Gourmet,Centro,León
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001LQUa3IAH'})",001Ho00001LQUa3IAH,Prueba desde Python,Market,Centro,Zaragoza
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001LQUbVIAX'})",001Ho00001LQUbVIAX,Prueba desde Python version 2,Market,Centro,Zaragoza
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001Kvmh8IAB'})",001Ho00001Kvmh8IAB,Bodegas Almirante Nuevo,Gourmet,Centro,Teruel
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001LPVJ7IAP'})",001Ho00001LPVJ7IAP,Terminal Terrestre,Gourmet,Centro,Burgos
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001Kw4ilIAB'})",001Ho00001Kw4ilIAB,ggg,Gourmet,Centro,León
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001ItYOuIAN'})",001Ho00001ItYOuIAN,Bodegas Santa Isabel,Market,Centro,Teruel
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/001Ho00001ItRnxIAF'})",001Ho00001ItRnxIAF,Bodegas VinoYa,Market,Centro,Zaragoza
